"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"RG01_CP"	"RG01"	"RG02_CP"	"RG02x01"	"RG02x02"	"TR03_01"	"TR03_01a"	"TR03_02"	"TR03_02a"	"TR03_03"	"TR03_03a"	"TR03_04"	"TR03_04a"	"TR03_05"	"TR03_05a"	"TR03_06"	"TR03_06a"	"TR03_07"	"TR03_07a"	"TR03_08"	"TR03_08a"	"TR03_09"	"TR03_09a"	"TR03_10"	"TR03_10a"	"TR03_11"	"TR03_11a"	"TR03_12"	"TR03_12a"	"TR03_13"	"TR03_13a"	"TR03_14"	"TR03_14a"	"TR03_15"	"TR03_15a"	"TR03_16"	"TR03_16a"	"TR03_17"	"TR03_17a"	"TR03_18"	"TR03_18a"	"TR03_19"	"TR03_19a"	"TR03_20"	"TR03_20a"	"TR03_21"	"TR03_21a"	"TR03_22"	"TR03_22a"	"TR03_23"	"TR03_23a"	"TR03_24"	"TR03_24a"	"TR03_25"	"TR03_25a"	"TR03_26"	"TR03_26a"	"TR03_27"	"TR03_27a"	"TR03_28"	"TR03_28a"	"TR03_29"	"TR03_29a"	"TR03_30"	"TR03_30a"	"TR03_31"	"TR03_31a"	"TR03_32"	"TR03_32a"	"TR03_33"	"TR03_33a"	"TR03_34"	"TR03_34a"	"TR03_35"	"TR03_35a"	"TR03_36"	"TR03_36a"	"TR03_37"	"TR03_37a"	"TR03_38"	"TR03_38a"	"TR03_39"	"TR03_39a"	"TR03_40"	"TR03_40a"	"TR04_01"	"TR04_01a"	"TR04_02"	"TR04_02a"	"TR04_03"	"TR04_03a"	"TR04_04"	"TR04_04a"	"TR04_05"	"TR04_05a"	"TR04_06"	"TR04_06a"	"TR04_07"	"TR04_07a"	"TR04_08"	"TR04_08a"	"TR04_09"	"TR04_09a"	"TR04_10"	"TR04_10a"	"TR04_11"	"TR04_11a"	"TR04_12"	"TR04_12a"	"TR04_13"	"TR04_13a"	"TR04_14"	"TR04_14a"	"TR04_15"	"TR04_15a"	"TR04_16"	"TR04_16a"	"TR04_17"	"TR04_17a"	"TR04_18"	"TR04_18a"	"TR04_19"	"TR04_19a"	"TR04_20"	"TR04_20a"	"TR04_21"	"TR04_21a"	"TR04_22"	"TR04_22a"	"TR04_23"	"TR04_23a"	"TR04_24"	"TR04_24a"	"TR04_25"	"TR04_25a"	"TR04_26"	"TR04_26a"	"TR04_27"	"TR04_27a"	"TR04_28"	"TR04_28a"	"TR04_29"	"TR04_29a"	"TR04_30"	"TR04_30a"	"TR04_31"	"TR04_31a"	"TR04_32"	"TR04_32a"	"TR04_33"	"TR04_33a"	"TR04_34"	"TR04_34a"	"TR04_35"	"TR04_35a"	"TR04_36"	"TR04_36a"	"TR04_37"	"TR04_37a"	"TR04_38"	"TR04_38a"	"TR04_39"	"TR04_39a"	"TR04_40"	"TR04_40a"	"DM06"	"DM02"	"DM03"	"DM05"	"DM07"	"DM07_01"	"DM09_01"	"DM09_02"	"DM09_03"	"DM10"	"DM11_01"	"IV01_RV1"	"IV01_RV2"	"IV01_RV3"	"IV02_01"	"IV02_02"	"IV02_03"	"IV02_04"	"IV04_01"	"IV04_02"	"IV04_03"	"IV04_04"	"IV04_05"	"IV04_06"	"IV04_07"	"IV04_08"	"IV04_09"	"IV04_10"	"IV04_11"	"IV04_12"	"IV04_13"	"IV04_14"	"IV04_15"	"IV04_16"	"IV04_17"	"IV04_18"	"IV04_19"	"IV04_20"	"IV04_21"	"IV04_22"	"IV04_23"	"IV04_24"	"IV04_25"	"IV04_26"	"IV04_27"	"IV04_28"	"IV04_29"	"IV04_30"	"IV04_31"	"IV04_32"	"IV04_33"	"IV04_34"	"IV04_35"	"IV04_36"	"IV04_37"	"IV04_38"	"IV04_39"	"IV04_40"	"IV06_01"	"IV06_02"	"IV06_03"	"IV06_04"	"IV06_05"	"IV06_06"	"IV06_07"	"IV06_08"	"IV06_09"	"IV06_10"	"IV06_11"	"IV06_12"	"IV06_13"	"IV06_14"	"IV06_15"	"IV06_16"	"IV06_17"	"IV06_18"	"IV06_19"	"IV06_20"	"IV06_21"	"IV06_22"	"IV06_23"	"IV06_24"	"IV06_25"	"IV06_26"	"IV06_27"	"IV06_28"	"IV06_29"	"IV06_30"	"IV06_31"	"IV06_32"	"IV06_33"	"IV06_34"	"IV06_35"	"IV06_36"	"IV06_37"	"IV06_38"	"IV06_39"	"IV06_40"	"IV07_01"	"IV07_02"	"IV07_03"	"IV07_04"	"IV07_05"	"IV08_01"	"IV09_01"	"DV01_01"	"DV01_02"	"DV01_03"	"DV01_04"	"DV02"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
320			"base"	"interview"	2022-05-05 10:10:04	101	2	159	1	1																																																																																	2	6436	1	3938	1	2090	2	2046	1	2861	2	2570	2	3005	1	4719	2	2133	1	2640	2	1601	1	2229	1	1698	2	2079	1	1317	1	1937	2	1658	2	3397	1	2261	1	3790	1	2293	2	2191	2	3276	2	1497	2	2024	2	2029	2	2812	1	1665	1	2159	1	1697	2	2044	1	1677	1	1578	1	3016	1	3926	2	2995	2	2514	1	1749	1	7466	2	1865	2	34	2	84	1	T	7	8	8	1		"5c3bd55f48ad2900017faacd"	"62568ea59b5810abee6bd150"	"6273865ad6adddd7b880751e"	"1111010010101101001110111011111110110111"	"1000100101001001001100001010100000000100"	"0011100000110100001000100000010001000011"	"1000111101111111110111110100010110111110"	"4"	"1"	"2"	"3"	"4"	"1"	"2"	"2"	"2"	"4"	"1"	"4"	"4"	"1"	"3"	"4"	"2"	"2"	"3"	"3"	"3"	"2"	"2"	"1"	"1"	"2"	"1"	"4"	"4"	"4"	"1"	"4"	"3"	"3"	"3"	"1"	"1"	"3"	"3"	"2"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"415"	"30"	"45"	"165"	"165"	"4123412224144134223332211214441433311332"	"1.23625"	91	91	8	10	4	60	17	296	18	66	48			127	128	15	38	6	16	17	2	538		2022-05-05 10:24:19	T	F	16	16	2	1	1.15	22
321			"base"	"interview"	2022-05-05 10:10:09	99	2	157	1	1																																																																																	2	2706	1	4346	1	2535	1	3181	1	2391	2	3196	2	978	2	1661	1	2300	2	2340	2	1374	2	2957	1	2626	2	1484	2	2124	1	2425	2	2392	1	1958	2	1820	2	3167	2	1307	1	2412	2	1377	1	2663	1	2336	2	1887	2	2472	2	2123	2	2024	2	3945	1	1226	1	2138	1	2185	2	3270	2	2311	2	1726	1	2257	2	1523	2	1540	2	1465	2	11	1	-9	1	T	6	9	9	1	"I cannot select my country of residence which is England, United Kingdom"	"615f7a0cf2e6f020d6dde9ce"	"62568ea59b5810abee6bd150"	"6273865e4cdafad9d9b3fa38"	"1101111101101110101110110000111011111011"	"1001010101000101010000000010000001000011"	"0100101000101101000000000010101000000110"	"1110011110101011110111001101101100111111"	"4"	"4"	"2"	"3"	"1"	"2"	"1"	"2"	"4"	"2"	"1"	"3"	"4"	"1"	"3"	"1"	"2"	"3"	"1"	"2"	"3"	"4"	"3"	"4"	"1"	"3"	"2"	"1"	"1"	"2"	"1"	"4"	"4"	"4"	"2"	"3"	"4"	"3"	"2"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"370"	"105"	"30"	"45"	"150"	"4423121242134131231234341321121444234323"	"1.2025"	51	31	41	67	4	33	9	135	10	11	7			116	96	13	33	6	36	109	3	617		2022-05-05 10:20:26	T	F	16	16	2	1	1.33	20
322			"base"	"interview"	2022-05-05 10:10:16	98	2	155	2	1																																																																																	1	11329	1	5896	1	3906	2	2411	2	3488	1	2242	2	1782	2	2323	1	1245	1	3503	2	2039	2	3008	2	1926	2	1490	1	4177	1	1290	2	1198	2	2073	1	2694	1	2757	2	1786	1	2709	1	1754	1	1567	2	1539	2	1642	1	1939	2	2003	1	3930	1	4217	1	1473	1	1645	1	1782	1	1553	2	1023	1	1898	2	1873	1	1763	2	1613	1	1502	2	6	1	66	1	T	6	9	9	1		"5fad5859d0c7c602ce4d46db"	"62568ea59b5810abee6bd150"	"6273866643ca42d206a8c4af"	"1110011111001101011111111111010010011110"	"0100110110010000001000110000000001001001"	"0111001101010111010101101111111101101111"	"0010000000010000100110000001110000101110"	"2"	"1"	"1"	"4"	"2"	"3"	"2"	"2"	"3"	"3"	"1"	"4"	"4"	"4"	"2"	"3"	"2"	"1"	"2"	"4"	"1"	"1"	"1"	"3"	"2"	"2"	"4"	"1"	"4"	"4"	"3"	"3"	"4"	"1"	"3"	"3"	"4"	"1"	"2"	"3"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"365"	"135"	"75"	"180"	"105"	"2114232233144423212411132241443341334123"	"1.19875"	67	22	85	46	3	25	13	57	7	20	11			123	100	16	36	8	27	103	2	548		2022-05-05 10:19:25	T	F	16	16	2	1	1.26	14
323			"base"	"interview"	2022-05-05 10:10:22	99	1	153	2	2	1	3568	1	2450	1	2755	1	1201	1	1182	1	2338	1	930	1	886	1	880	1	893	1	1951	1	957	1	778	1	1333	1	847	1	1093	1	945	3	1676	3	1458	1	3911	3	1373	2	1148	4	508	3	755	3	522	1	599	1	587	1	485	1	727	3	517	1	550	1	680	1	403	1	441	1	392	1	414	1	660	1	409	1	782	1	3401																																																																																	2	13	1	84	1	T	6	9	9	1	"no"	"6097aa3750f626d9231bf1fb"	"62568ea59b5810abee6bd150"	"6273866cb421d2a366dcb328"	"0000000010000000010101110100001101100010"	"1111011101111110010010101111010100111111"	"0100111110111101111110010111011101111100"	"0001110000000011001010000010000000011101"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"3"	"3"	"1"	"3"	"2"	"4"	"3"	"3"	"1"	"1"	"1"	"1"	"3"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"375"	"615"	"30"	"150"	"30"		"1.20625"	87	6	71	11	1	26	6	37	18	19	13	75	113			17	18	6	36	58	2	444		2022-05-05 10:17:47	T	F	16	16	0	0	1.38	25
324			"base"	"interview"	2022-05-05 10:10:24	98	1	153	1	1	1	2607	2	2588	3	3073	3	922	4	998	3	805	4	656	3	652	4	579	3	479	4	479	3	445	3	527	3	530	3	460	4	429	4	665	3	418	3	531	3	635	3	469	3	431	3	431	3	427	3	462	3	584	3	426	2	567	3	762	4	422	4	487	4	413	4	399	4	572	4	495	4	503	4	453	4	408	3	432	4	690																																																																																	2	11	1	46	1	T	6	9	9	1		"59b7eb9791f20c00012fe164"	"62568ea59b5810abee6bd150"	"6273866d6ed443b97f5e13b5"	"1011110101011101111111111101011010011001"	"0011010000110000000001100110010001000001"	"0000110100010101010100000110001000001000"	"1010111110000111011111000111111111111010"	"1"	"2"	"3"	"3"	"4"	"3"	"4"	"3"	"4"	"3"	"4"	"3"	"3"	"3"	"3"	"4"	"4"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"3"	"2"	"3"	"4"	"4"	"4"	"4"	"4"	"4"	"4"	"4"	"4"	"3"	"4"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"435"	"30"	"60"	"375"	"300"		"1.25125"	41	21	86	81	3	9	4	47	4	12	9	58	54			15	30	7	19	92	2	362		2022-05-05 10:16:27	T	F	16	16	2	1	1.77	56
325			"base"	"interview"	2022-05-05 10:10:28	100	1	156	2	1	3	3010	1	4029	3	1288	3	1111	1	2079	3	697	1	1412	2	1545	4	1207	3	1500	3	515	3	663	3	581	3	496	1	1022	1	441	1	538	1	599	3	696	1	1497	3	365	1	469	1	982	1	769	1	450	1	368	3	377	3	745	3	1467	4	355	3	575	2	978	1	1088	2	383	3	379	3	525	4	617	3	497	1	438	3	1201																																																																																	2	13	1	1	1	T	6	9	9	1		"5c0b7c29594d920001679fa2"	"62568ea59b5810abee6bd150"	"627386728b037607ee5b970e"	"1101010100111011101111101100011111111011"	"0010100100000000100110000010110100000101"	"1110111011101110111111100110110100010111"	"0101010000000010010111101000001010000000"	"3"	"1"	"3"	"3"	"1"	"3"	"1"	"2"	"4"	"3"	"3"	"3"	"3"	"3"	"1"	"1"	"1"	"1"	"3"	"1"	"3"	"1"	"1"	"1"	"1"	"1"	"3"	"3"	"3"	"4"	"3"	"2"	"1"	"2"	"3"	"3"	"4"	"3"	"1"	"3"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"240"	"405"	"75"	"390"	"90"		"1.105"	52	30	88	24	3	26	26	33	10	20	10	69	54			11	23	8	26	54	2	372		2022-05-05 10:16:40	T	F	16	16	2	1	1.4	20
326			"base"	"interview"	2022-05-05 10:10:32	101	1	157	1	1	1	6637	3	4458	3	4006	1	2889	3	1486	3	1207	3	1380	1	1359	3	1329	3	2074	1	1414	1	1379	4	2320	2	1714	3	1034	3	1062	1	1575	3	1365	1	7675	3	1609	1	1299	3	1623	1	4606	3	1551	3	1423	1	3678	3	1244	1	1128	3	1045	3	1127	1	1010	2	991	4	1009	4	1026	4	1089	4	1059	4	982	4	965	4	1072	4	964																																																																																	2	5	2	7	1	T	6	6	5	1	"i could´t choose Mexico in my current country residence :c"	"5f2e22b0d49b95188fd9b5a3"	"62568ea59b5810abee6bd150"	"627386449fe43c120aa5df9b"	"1101110111110101111000101010100111111111"	"0000001000001110000100101001000010110010"	"0000001101000011101000110000010000000011"	"0001100111111110110111111001001111111110"	"1"	"3"	"3"	"1"	"3"	"3"	"3"	"1"	"3"	"3"	"1"	"1"	"4"	"2"	"3"	"3"	"1"	"3"	"1"	"3"	"1"	"3"	"1"	"3"	"3"	"1"	"3"	"1"	"3"	"3"	"1"	"2"	"4"	"4"	"4"	"4"	"4"	"4"	"4"	"4"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"300"	"330"	"60"	"360"	"150"		"1.15"	101	11	92	5	3	37	39	59	6	33	21	127	142			43	52	12	67	111	3	727		2022-05-05 10:23:04	T	F	16	16	0	0	0.84	5
327			"base"	"interview"	2022-05-05 10:10:38	100	2	157	1	1																																																																																	1	7502	1	1854	2	2590	1	1254	1	3205	2	1140	2	1707	1	850	1	5588	2	2064	2	3593	1	1451	1	1707	1	1245	2	739	2	1139	2	821	1	794	2	863	2	1273	1	783	2	2396	2	1363	1	988	2	2412	2	1981	2	1027	1	1439	1	2512	2	5018	2	732	2	1357	1	729	1	922	1	939	2	948	2	1308	1	1301	1	993	2	1271	2	6	2	61	1	T	6	9	9	1		"5fb3ecdd2c92fd0009b3a710"	"62568ea59b5810abee6bd150"	"62738661a19877db2e15a9c0"	"0111101111101011011001111101100001111111"	"0000110101100110000000000000110000011100"	"0010101001010000000100101001101000000001"	"1110111110101001111101111100011111010101"	"3"	"3"	"1"	"4"	"4"	"3"	"2"	"4"	"1"	"3"	"2"	"1"	"1"	"2"	"1"	"3"	"1"	"4"	"2"	"4"	"2"	"2"	"1"	"3"	"2"	"4"	"4"	"1"	"3"	"1"	"4"	"2"	"2"	"1"	"3"	"3"	"4"	"2"	"4"	"3"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"315"	"150"	"120"	"90"	"105"	"3314432413211213142422132441314221334243"	"1.16125"	74	9	52	7	3	21	39	48	16	29	8			103	124	15	22	8	33	86	3	555		2022-05-05 10:19:54	T	F	16	16	2	1	1.14	11
328			"base"	"interview"	2022-05-05 10:10:43	102	1	157	1	2	1	7368	1	1717	1	1713	1	1096	3	2261	3	999	2	1169	2	792	2	644	4	1171	4	724	4	711	4	465	4	786	4	571	4	1020	4	621	4	571	4	797	4	1062	4	1015	4	582	4	657	1	1005	1	1142	1	1281	1	1149	1	1004	1	1424	1	781	1	1202	3	751	3	875	2	723	2	1037	2	1234	2	1615	4	831	4	1053	4	1549																																																																																	2	6	2	-9	1	T	6	9	9	1	"I could not select my country of residence as the options ended in the ""L"" letter - My country of residence is Portugal"	"61637058252259e8b047d3f5"	"62568ea59b5810abee6bd150"	"6273867d5e42691e42d159a5"	"0100100000000011110000110011000000010010"	"1110110111111010110011011111010111001011"	"1010010100100010110001010000000001100000"	"1101111001111111110011001110101111110100"	"1"	"1"	"1"	"1"	"3"	"3"	"2"	"2"	"2"	"4"	"4"	"4"	"4"	"4"	"4"	"4"	"4"	"4"	"4"	"4"	"4"	"4"	"4"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"3"	"3"	"2"	"2"	"2"	"2"	"4"	"4"	"4"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"375"	"225"	"165"	"105"	"330"		"1.20625"	76	31	51	81	4	27	67	63	16	24	22	84	75			31	49	13	55	80	3	609		2022-05-05 10:20:55	T	F	16	16	2	1	0.85	2
329			"base"	"interview"	2022-05-05 10:13:17	102	2	158	2	1																																																																																	1	3928	1	3239	2	2125	1	2721	1	1586	2	2578	1	1496	1	1848	2	1376	1	1392	1	1309	2	1563	1	2041	2	1544	2	1404	1	1335	1	2146	1	972	1	1010	2	1142	1	911	1	881	2	1153	1	1347	1	947	2	1477	2	1140	1	1519	1	1737	1	1270	2	1255	1	1268	1	1169	1	1844	2	1387	1	1491	1	1124	1	1108	2	2214	1	1478	2	8	2	46	1	T	6	9	9	1		"5f22cd7c70bd6e00080a8fe3"	"62568ea59b5810abee6bd150"	"62738666673a8b24f42c81a5"	"1101101111111111110101101110110001110001"	"0011000100100000000011010000101001010010"	"0011110111001101011111110110110011111101"	"0110011101010000101000000000010001000010"	"3"	"2"	"4"	"4"	"3"	"2"	"1"	"3"	"1"	"3"	"3"	"1"	"2"	"1"	"1"	"2"	"4"	"3"	"4"	"1"	"2"	"4"	"1"	"2"	"3"	"1"	"1"	"2"	"2"	"2"	"1"	"4"	"3"	"3"	"4"	"4"	"2"	"3"	"4"	"4"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"385"	"30"	"165"	"180"	"180"	"3244321313312112434124123112221433442344"	"1.21375"	3	79	101	62	3	40	23	27	17	13	6			88	70	30	33	6	28	10	2	393		2022-05-05 10:19:51	T	F	16	16	2	1	1.51	41
